SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Reservoir water level (m)
88,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,29-03-1990 13:30,12.679680
89,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,30-03-1990 13:30,12.679680
90,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,31-03-1990 13:30,12.679680
91,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,01-04-1990 13:30,12.496800
92,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,02-04-1990 13:30,12.496800
93,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,03-04-1990 13:30,12.496800
94,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,04-04-1990 13:30,12.496800
95,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,05-04-1990 13:30,12.496800
96,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,06-04-1990 13:30,12.496800
97,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,07-04-1990 13:30,12.496800
98,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,08-04-1990 13:30,12.496800
99,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,09-04-1990 13:30,12.496800
100,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,10-04-1990 13:30,12.496800
101,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,11-04-1990 13:30,12.496800
102,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,12-04-1990 13:30,12.496800
103,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,13-04-1990 13:30,12.496800
104,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,14-04-1990 13:30,12.496800
105,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,15-04-1990 13:30,12.496800
106,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,16-04-1990 13:30,12.496800
107,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,17-04-1990 13:30,12.466320
108,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,18-04-1990 13:30,12.466320
109,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,19-04-1990 13:30,12.466320
110,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,20-04-1990 13:30,12.466320
111,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,21-04-1990 13:30,12.466320
112,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,22-04-1990 13:30,12.466320
