timestamp,catchment_precip_mm,valid_grid_fraction,source_product
2024-06-29 17:00:00+00:00,0.021,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-29 18:00:00+00:00,0.033,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-29 19:00:00+00:00,0.056,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-29 20:00:00+00:00,0.051,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-29 21:00:00+00:00,0.042,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-29 22:00:00+00:00,0.037,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-29 23:00:00+00:00,0.026,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 00:00:00+00:00,0.023,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 01:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 02:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 03:00:00+00:00,0.0,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 04:00:00+00:00,0.012,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 05:00:00+00:00,0.056,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 06:00:00+00:00,0.106,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 07:00:00+00:00,0.151,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 08:00:00+00:00,0.198,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 09:00:00+00:00,0.224,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 10:00:00+00:00,0.206,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 11:00:00+00:00,0.145,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 12:00:00+00:00,0.135,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 13:00:00+00:00,0.049,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 14:00:00+00:00,0.019,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 15:00:00+00:00,0.095,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 16:00:00+00:00,0.259,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 17:00:00+00:00,0.412,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 18:00:00+00:00,0.223,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 19:00:00+00:00,0.17,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 20:00:00+00:00,0.121,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 21:00:00+00:00,0.119,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
2024-06-30 22:00:00+00:00,0.084,1.0,ECMWF ERA5-Land Hourly Surface Reanalysis (v1.0)
