hyriv_id,next_down,main_riv,length_km,discharge_m3s_mean,catchment_up_area_km2,river_order,source,geometry_type,provenance
40627306,40626875,41023100,2.22,10.225,716.8,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627307,40626875,41023100,2.62,1.746,105.4,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627308,40626573,41023100,6.18,0.386,24.9,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627309,40628289,41023100,2.39,0.171,10.8,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627310,40628289,41023100,1.62,0.218,13.9,6,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627311,40626732,41023100,3.62,301.675,21036.3,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627441,40627006,41023100,2.91,0.229,9.9,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627442,40626568,41023100,4.06,0.371,18.3,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627443,40627586,41023100,2.0,651.33,44019.7,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627444,40627586,41023100,0.79,0.842,58.2,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627445,40627444,41023100,3.21,0.193,13.4,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627446,40628007,41023100,2.98,1.352,99.6,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627447,40628007,41023100,2.92,0.397,29.6,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627448,40627449,41023100,3.18,0.2,12.1,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627449,40626222,41023100,4.68,11.479,547.6,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627450,40626732,41023100,4.13,0.217,11.9,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627582,40628428,41023100,5.1,0.542,23.1,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627583,40628428,41023100,1.83,2.935,117.0,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627584,40627009,41023100,3.83,666.316,45532.1,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627585,40627723,41023100,0.91,0.11,7.1,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627586,40627723,41023100,0.61,652.117,44078.1,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627587,40625536,41023100,7.01,0.287,20.5,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627588,40626729,41023100,3.65,8.015,606.7,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627589,40627590,41023100,3.0,0.213,15.9,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627590,40627446,41023100,3.98,0.784,57.8,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627591,40627592,41023100,0.99,0.137,7.3,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627592,40627311,41023100,1.07,3.969,197.9,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627720,40628153,41023100,2.22,687.59,46696.1,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627721,40627584,41023100,3.77,665.479,45464.5,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627722,40627851,41023100,3.07,1.304,76.3,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627723,40628431,41023100,1.0,652.16,44088.5,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627724,40627590,41023100,0.61,0.44,32.2,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627725,40627306,41023100,3.41,9.912,696.6,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627726,40628157,41023100,5.45,0.408,21.8,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627727,40628157,41023100,8.88,0.58,30.9,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627728,40628976,41023100,5.04,8.067,569.2,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627729,40628976,41023100,1.38,0.158,7.7,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627848,40628833,41023100,1.2,0.13,5.5,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627849,40628833,41023100,2.23,0.297,12.3,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627850,40627720,41023100,3.38,0.328,14.1,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627851,40627721,41023100,4.77,664.86,45399.5,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627852,40628009,41023100,7.01,0.405,28.2,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627853,40628009,41023100,1.62,0.16,11.2,5,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40627854,40628289,41023100,2.59,0.178,10.8,5,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40628002,40627851,41023100,3.19,663.79,45298.9,2,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40628003,40628002,41023100,1.52,0.231,14.3,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40628004,40627588,41023100,2.08,7.209,548.2,3,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40628005,40628004,41023100,3.81,0.177,13.2,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
40628006,40627724,41023100,2.21,0.164,12.1,4,HydroRIVERS v1.0 (HydroSHEDS),LineString,OBSERVED HYDROGRAPHIC NETWORK · WWF / HydroSHEDS
