canonical_osm_id,name,place_type,geometry_type,latitude,longitude,corridor_distance_km,corridor_relevance,source,provenance
node/7886624377,Bon,hamlet,Point,30.24611,78.41417,10.8,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886624378,Tamiyar,hamlet,Point,30.22651,78.40504,11.56,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886624379,Kathurgaon,hamlet,Point,30.22733,78.3993,11.75,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886624380,Kothdi,hamlet,Point,30.2275,78.39056,11.93,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886624381,Sera,hamlet,Point,30.22596,78.4094,11.42,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886990218,Chaldgaon,hamlet,Point,30.24179,78.31999,14.87,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886990219,Kasmoli,hamlet,Point,30.23701,78.32681,14.23,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886990220,Badera,hamlet,Point,30.23034,78.31917,13.71,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886990221,Kakhil,hamlet,Point,30.23363,78.30814,14.29,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886990222,Berdhal,hamlet,Point,30.22414,78.30407,13.4,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886990248,Badeda Malla,hamlet,Point,30.22425,78.31586,13.16,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886990249,Saldogi,hamlet,Point,30.22681,78.31718,13.39,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886990250,Bhengarki,hamlet,Point,30.2217,78.32643,12.67,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886990253,Bhinnu,hamlet,Point,30.22594,78.33456,12.93,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886990257,Janglet,hamlet,Point,30.22605,78.34518,12.71,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/7886990258,Dhauryani,hamlet,Point,30.22186,78.35602,12.05,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
