canonical_osm_id,name,facility_type,raw_amenity_tag,raw_healthcare_tag,geometry_type,latitude,longitude,corridor_distance_km,corridor_relevance,source,provenance
node/7484472672,Shah Clinic,clinic,clinic,,Point,29.91869,78.13944,2.96,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/8891542517,Shakti Sansthan,doctors,doctors,,Point,29.92602,78.13258,3.56,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/10012603021,Krishna Medical Centre,clinic,clinic,clinic,Point,30.10884,78.29272,1.79,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/11438148670,Aradhya Medicose,pharmacy,pharmacy,,Point,30.12081,78.31583,2.53,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/11476456750,Gurukul Kangri Ayurvedic College & Hospital,hospital,hospital,hospital,Point,29.91872,78.11942,5.04,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/11860290763,Rana eye center,hospital,hospital,,Point,30.09034,78.27361,0.3,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/11860352788,Neeraj epilepsy clinic,hospital,hospital,,Point,30.09879,78.28841,0.85,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/12049320442,Seema dental college and hospital,hospital,hospital,,Point,30.0692,78.27719,1.94,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
way/742423053,S.P.S Government Hospital Rishikesh,hospital,hospital,hospital,Polygon,30.10873,78.29593,1.71,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
way/742630681,Joshi Surgicial and Maternity Center,hospital,hospital,hospital,Polygon,30.1121,78.29414,2.1,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
way/742634686,Bharadwaj Hospital and Maternity Home,hospital,hospital,hospital,Polygon,30.09814,78.28796,0.8,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
way/742849500,Puri Sanjivani Hospital,hospital,hospital,hospital,Polygon,30.11432,78.29254,2.36,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
way/742885990,Dashmesh Hospital and Sandhu Surgicial Center,hospital,hospital,hospital,Polygon,30.11202,78.29351,2.1,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
way/743251353,Sri Krishna Sewa Ashram Hospital,hospital,hospital,hospital,Polygon,30.10779,78.30058,1.52,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
way/743357867,Nirmal Ashram Hospital,hospital,hospital,hospital,Polygon,30.10444,78.30327,1.12,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
