time_prototype_s,Q_prototype_m3s,time_model_s,Q_model_m3s,V_inlet_model_ms
167461.0,715087.0611666667,26.1,7.150870611666667,1.9753786220073666
167462.0,715153.5423333333,26.2,7.151535423333333,1.9755622716390422
167463.0,715220.0235,26.3,7.1522002350000005,1.9757459212707182
167464.0,715286.5046666666,26.4,7.152865046666666,1.9759295709023939
167465.0,715352.9858333333,26.5,7.153529858333333,1.97611322053407
167466.0,715419.467,26.6,7.15419467,1.9762968701657457
167467.0,715485.9481666667,26.7,7.154859481666667,1.9764805197974216
167468.0,715552.4293333333,26.8,7.1555242933333325,1.9766641694290974
167469.0,715618.9105,26.9,7.156189105,1.9768478190607734
167470.0,715685.3916666666,27.0,7.156853916666666,1.977031468692449
167471.0,715751.8728333333,27.1,7.157518728333334,1.9772151183241253
167472.0,715818.3539999999,27.2,7.15818354,1.977398767955801
167473.0,715884.8351666667,27.3,7.158848351666666,1.9775824175874768
167474.0,715951.3163333333,27.4,7.159513163333332,1.9777660672191524
167475.0,716017.7975,27.5,7.160177975,1.9779497168508287
167476.0,716084.2786666666,27.6,7.160842786666666,1.9781333664825043
167477.0,716150.7598333333,27.7,7.161507598333333,1.9783170161141805
167478.0,716217.2409999999,27.8,7.162172409999999,1.9785006657458561
167479.0,716283.7221666666,27.9,7.162837221666666,1.978684315377532
167480.0,716350.2033333333,28.0,7.163502033333333,1.9788679650092078
167481.0,716416.6845,28.1,7.164166845,1.9790516146408839
167482.0,716483.1656666666,28.2,7.164831656666665,1.9792352642725595
167483.0,716549.6468333333,28.3,7.165496468333333,1.9794189139042355
167484.0,716616.1279999999,28.4,7.166161279999999,1.9796025635359114
167485.0,716682.6091666666,28.5,7.166826091666667,1.9797862131675874
167486.0,716749.0903333332,28.6,7.1674909033333325,1.979969862799263
167487.0,716815.5715,28.7,7.168155714999999,1.980153512430939
167488.0,716882.0526666666,28.8,7.168820526666666,1.980337162062615
167489.0,716948.5338333333,28.9,7.169485338333333,1.9805208116942907
167490.0,717015.015,29.0,7.1701501500000004,1.980704461325967
167491.0,717081.4961666666,29.1,7.170814961666666,1.9808881109576426
167492.0,717147.9773333333,29.2,7.171479773333333,1.9810717605893184
167493.0,717214.4585,29.3,7.172144585,1.9812554102209943
167494.0,717280.9396666667,29.4,7.172809396666667,1.9814390598526703
167495.0,717347.4208333333,29.5,7.1734742083333325,1.981622709484346
167496.0,717413.902,29.6,7.17413902,1.981806359116022
167497.0,717480.3831666666,29.7,7.174803831666666,1.9819900087476978
167498.0,717546.8643333333,29.8,7.175468643333334,1.9821736583793739
167499.0,717613.3454999999,29.9,7.1761334549999996,1.9823573080110495
167500.0,717679.8266666667,30.0,7.176798266666666,1.9825409576427255
167501.0,717746.3078333333,30.1,7.177463078333333,1.9827246072744014
167502.0,717812.789,30.2,7.17812789,1.9829082569060772
167503.0,717879.2701666666,30.3,7.178792701666666,1.9830919065377528
167504.0,717945.7513333333,30.4,7.179457513333333,1.983275556169429
167505.0,718012.2324999999,30.5,7.180122324999999,1.9834592058011047
167506.0,718078.7136666666,30.6,7.180787136666667,1.983642855432781
167507.0,718145.1948333333,30.7,7.181451948333333,1.9838265050644566
167508.0,718211.676,30.8,7.1821167599999995,1.9840101546961324
167509.0,718278.1571666666,30.9,7.182781571666665,1.984193804327808
167510.0,718344.6383333333,31.0,7.183446383333333,1.9843774539594843
167511.0,718411.1194999999,31.1,7.184111194999999,1.98456110359116
167512.0,718477.6006666666,31.2,7.184776006666667,1.984744753222836
167513.0,718544.0818333332,31.3,7.1854408183333325,1.9849284028545118
167514.0,718610.563,31.4,7.186105629999999,1.9851120524861876
167515.0,718677.0441666666,31.5,7.186770441666666,1.9852957021178634
167516.0,718743.5253333333,31.6,7.187435253333333,1.9854793517495395
167517.0,718810.0064999999,31.7,7.188100064999999,1.985663001381215
