SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
47,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,29-08-2022 16:00,0.6
48,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,31-08-2022 08:00,7
49,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,31-08-2022 16:00,4.6
50,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,02-09-2022 08:00,113.6
51,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,02-09-2022 12:00,0.8
52,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,02-09-2022 14:00,0.8
53,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,03-09-2022 08:00,25.2
54,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,03-09-2022 16:00,0.4
55,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,04-09-2022 08:00,26.4
56,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,04-09-2022 14:00,2.4
57,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,04-09-2022 16:00,2.4
58,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,05-09-2022 08:00,14.4
59,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,05-09-2022 14:00,1.8
60,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,05-09-2022 16:00,1.8
61,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,06-09-2022 08:00,1.8
62,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,08-09-2022 08:00,13
63,Dharchula,Uttarakhand,5,Uttarakhand,53,Pithoragarh,DHARCHULA,-,-,Kali,Ganga,-,-,-,-,29.88000000,80.54000000,09-09-2022 08:00,22.6
